"","adm0_id","adm0_name","adm1_id","adm1_name","mkt_id","mkt_name","cm_id","cm_name","cur_id","cur_name","pt_id","pt_name","um_id","um_name","mp_month","mp_year","mp_price","mp_commoditysource"
"305790",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",9,2016,2.42,NA
"305791",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",10,2016,2.5,NA
"305792",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",11,2016,2.55,NA
"305793",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",12,2016,2.585,NA
"305794",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",1,2017,2.5567,NA
"305795",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",2,2017,2.5575,NA
"305796",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",3,2017,2.565,NA
"305797",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",4,2017,2.5638,NA
"305798",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",5,2017,2.56,NA
"305799",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",6,2017,2.455,NA
"305800",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",7,2017,2.42,NA
"305801",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",8,2017,2.468,NA
"305802",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",9,2017,2.51,NA
"305803",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",10,2017,2.535,NA
"305804",52,"China",907,"Hebei Sheng",2605,"Sijiazhuang",84,"Wheat - Wholesale",0,"CNY",14,"Wholesale",18,"MT",11,2017,2.5775,NA
